lower_relations,count
vet,1
veto,12
victory in,1
victory over,1
view,1
view as threat,1
viewed as,1
violate,10
violations,1
visit,42
visited,2
voice,1
volunteer at,1
vote,14
vote against,10
vote for,12
vote in favor of,2
vote on,1
vote to acquit,1
vote to convict,1
vow,2
wage,1
waived,1
want,2
warn,5
warned,2
was,6
was against,1
was born in,4
was born on,1
was part of,1
was shot,1
watch,1
waver on,2
weaken,6
weaponize,1
wear,8
widen,2
win,57
win by,1
win ratification,1
win support from,1
winning,1
wipe,1
with,1
withdraw,25
withdraw from,3
withdrew from,1
withhold,3
won,10
work,1
work as,1
work at,7
work for,10
work on,4
work remotely from,1
work with,5
worked as,1
worked at,3
worked in,2
worried about,1
worry about,1
write,21
write on,1
wrote,1
